Local Area Unemployment Statistics,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LAUMT511682000000005,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Area:,"Charlottesville, VA Metropolitan Statistical Area",,,,,,,,,,,
Area Type:,Metropolitan areas,,,,,,,,,,,
State/Region/Division:,Virginia,,,,,,,,,,,
Years:,2015 to 2025,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,103503,105522,105700,107064,105949,104874,104150,102822,105301,105007,105766,104937
2016,100688,103639,104162,105412,104210,104834,103680,103140,106530,105372,105398,104686
2017,103757,106504,107637,109093,108270,108430,107446,105960,110215,108481,107837,107452
2018,106411,109308,109719,110763,110197,110384,109111,106373,110445,109558,109975,109256
2019,108681,111020,111402,113693,112821,112944,112254,110022,114607,116611,113779,113227
2020,112106,113371,111272,97550,97474,99305,99789,100948,102979,105945,105196,104487
2021,103523,104806,105798,106555,106524,106592,108260,107258,108150,110213,110136,110184
2022,109113,111115,112059,112657,111957,111746,111550,110807,112546,113502,113446,114304
2023,112720,115146,116005,116519,115131,115174,115169,114183,117214,117333,117627,116714
2024,115668,117987,119652,119581,117961,117799,117303,116975,118074,118422,117577,118030
2025,117926,117828,118293,118186,116231,115894,116067,115718,115833,,115790,116380
